Squad,Possession,Progressive_Passes_Received_Per90
vs Arsenal,41.7,22.92
vs Aston Villa,46.4,32.33
vs Bournemouth,47.3,29.5
vs Brentford,57.2,38.75
vs Brighton,49.9,32.67
vs Burnley,60.7,43.75
vs Chelsea,41.1,29.67
vs Crystal Palace,57.2,39.25
vs Everton,56.0,41.75
vs Fulham,49.2,38.67
vs Leeds United,51.8,36.92
vs Liverpool,38.4,25.75
vs Manchester City,42.7,27.92
vs Manchester Utd,48.0,33.25
vs Newcastle Utd,50.3,35.5
vs Nott'ham Forest,49.7,39.75
vs Sunderland,56.8,44.0
vs Tottenham,47.2,32.58
vs West Ham,55.9,44.0
vs Wolves,52.8,40.58
