Team,Shot_Creating_Actions,Shot_Creating_Actions_Per90,SCA_Passes_LiveBall,SCA_Passes_DeadBall,SCA_TakeOns,SCA_Shots,SCA_Fouls_Drawn,SCA_Defensive_Actions,Goal_Creating_Actions,Goal_Creating_Actions_Per90,GCA_Passes_LiveBall,GCA_Passes_DeadBall,GCA_TakeOns,GCA_Shots,GCA_Fouls_Drawn,GCA_Defensive_Actions
vs Arsenal,149,13.55,110,14,10,5,6,4,10,0.91,8,1,0,0,1,0
vs Aston Villa,242,22.0,160,28,19,18,9,8,17,1.55,10,3,0,3,1,0
vs Bournemouth,232,21.09,172,17,14,17,8,4,32,2.91,19,2,3,5,3,0
vs Brentford,233,21.18,178,14,9,20,6,6,28,2.55,20,1,2,2,2,1
vs Brighton,217,19.73,149,20,18,11,11,8,23,2.09,16,1,2,2,1,1
vs Burnley,344,31.27,256,31,17,29,8,3,32,2.91,23,1,3,3,2,0
vs Chelsea,166,15.09,120,17,4,14,9,2,18,1.64,15,1,0,2,0,0
vs Crystal Palace,210,19.09,155,16,10,16,8,5,17,1.55,10,2,2,1,2,0
vs Everton,241,21.91,172,24,12,19,9,5,23,2.09,18,2,1,2,0,0
vs Fulham,204,18.55,145,21,9,13,11,5,21,1.91,13,2,1,4,1,0
vs Leeds United,207,18.82,152,14,18,9,12,2,37,3.36,28,2,3,1,3,0
vs Liverpool,221,20.09,162,16,11,14,15,3,32,2.91,25,1,1,1,3,1
vs Manchester City,170,15.45,127,9,9,13,4,8,14,1.27,10,1,1,1,0,1
vs Manchester Utd,221,20.09,152,26,15,16,7,5,30,2.73,18,2,3,5,1,1
vs Newcastle Utd,201,18.27,142,18,13,13,9,6,21,1.91,15,1,0,4,1,0
vs Nott'ham Forest,243,22.09,161,26,17,23,11,5,31,2.82,18,4,1,4,3,1
vs Sunderland,254,23.09,200,17,8,18,7,4,19,1.73,17,0,2,0,0,0
vs Tottenham,225,20.45,167,18,13,14,9,4,15,1.36,9,1,2,2,0,1
vs West Ham,285,25.91,212,27,11,22,10,3,39,3.55,27,4,2,5,1,0
vs Wolves,253,23.0,199,17,7,13,12,5,42,3.82,35,0,2,2,1,2
