Team,Tackles_Total,Tackles_Won,Tackles_Defensive_Third,Tackles_Middle_Third,Tackles_Attacking_Third,Challenges_Tackles,Challenges_Attempted,Challenges_Tackle_Percentage,Challenges_Lost,Blocks_Total,Blocks_Shots,Blocks_Passes,Interceptions,Tackles_Plus_Interceptions,Clearances,Errors_Leading_To_Shots
Arsenal,162,91,69,66,27,66,125,52.8,59,107,28,79,63,225,264,5
Aston Villa,161,99,73,70,18,78,153,51.0,75,127,50,77,62,223,258,6
Bournemouth,192,107,85,75,32,95,183,51.9,88,139,33,106,100,292,354,3
Brentford,176,102,72,75,29,78,143,54.5,65,133,46,87,84,260,314,4
Brighton,217,138,90,87,40,110,212,51.9,102,116,23,93,78,295,274,5
Burnley,185,103,87,76,22,84,162,51.9,78,150,55,95,109,294,377,8
Chelsea,176,109,76,69,31,92,155,59.4,63,92,28,64,117,293,217,11
Crystal Palace,222,137,119,82,21,101,184,54.9,83,113,29,84,107,329,380,8
Everton,184,113,91,68,25,95,169,56.2,74,134,55,79,82,266,335,11
Fulham,186,107,104,61,21,87,148,58.8,61,105,34,71,77,263,299,9
Leeds United,196,121,89,80,27,101,184,54.9,83,103,27,76,96,292,302,5
Liverpool,145,95,74,49,22,72,143,50.3,71,113,30,83,75,220,337,10
Manchester City,157,96,68,64,25,79,134,59.0,55,86,30,56,81,238,288,10
Manchester Utd,201,121,88,87,26,100,184,54.3,84,108,28,80,85,286,271,9
Newcastle Utd,138,86,65,60,13,64,152,42.1,88,110,33,77,87,225,284,8
Nott'ham Forest,177,106,83,57,37,96,180,53.3,84,114,36,78,88,265,250,13
Sunderland,182,100,95,64,23,101,167,60.5,66,111,41,70,83,265,378,9
Tottenham,227,136,98,103,26,105,176,59.7,71,108,23,85,63,290,296,14
West Ham,157,92,78,64,15,72,129,55.8,57,121,48,73,73,230,354,5
Wolves,226,127,117,74,35,121,212,57.1,91,120,43,77,100,326,327,10
